subscriber,income,age,var1,gender,house_type,lastVisit,product02
1,118239.8,74.3231,1.216512,f,OWNER,1/1/2012 2:09,Nee
2,348760.4,45.86138,3.672188,f,OWNER,1/1/2012 14:03,Ja
3,96111.34,43.18818,0.5789558,f,OWNER,1/1/2012 23:58,Nee
4,73818.17,43.32941,-0.1294411,m,RENTAL,1/2/2012 3:51,Ja
5,36469.51,34.87954,-0.1276749,m,RENTAL,1/2/2012 13:50,Nee
6,152097,34.21331,1.637334,m,OWNER,1/2/2012 18:42,Nee
7,63391.42,40.83592,-0.1834526,m,RENTAL,1/2/2012 23:36,Ja
8,95507.94,38.47758,0.4632959,m,OWNER,1/3/2012 1:57,Nee
9,116593.2,46.0801,0.2282188,m,OWNER,1/3/2012 4:45,Ja
10,75800.64213,27.73817625,1.408447684,m,OWNER,1/3/2012 8:43,Ja
11,160619.3,32.09221,0.6259659,f,OWNER,1/3/2012 10:08,Ja
12,122199.6,38.89941,0.8028475,m,OWNER,1/3/2012 15:32,Nee
13,166314.4,38.5469,0.8844025,f,OWNER,1/3/2012 16:23,Ja
14,27029.24,50.86842,-1.92947,m,RENTAL,1/4/2012 1:32,Nee
15,27029.24,50.86842,-1.92947,m,RENTAL,1/4/2012 1:32,Nee
16,243078.5717,43.97835025,1.648986476,m,OWNER,1/4/2012 11:03,Nee
17,58441.77,74.69145,NA,NA,RENTAL,1/4/2012 12:48,Nee
18,58441.77,74.69145,-4.630096,m,RENTAL,1/4/2012 12:48,Nee
19,165554.2,22.05585,1.575083,f,OWNER,1/4/2012 15:21,Nee
20,36887.37,37.81563,0.03388748,m,OWNER,1/4/2012 16:31,Ja
21,225006.8,45.08749,0.991318,m,OWNER,1/4/2012 17:44,Nee
22,330409.6,48.71644,2.838772,f,OWNER,1/5/2012 0:15,Ja
23,150174.4,43.76536,0.7567015,f,OWNER,1/5/2012 18:27,Nee
24,22340.47,21.77069,2.196652,m,OWNER,1/5/2012 20:01,Nee
25,59762.66,48.94142,NA,m,RENTAL,1/6/2012 2:27,Nee
26,59762.66,48.94142,-0.4481707,m,RENTAL,1/6/2012 2:27,Nee
27,273529.7,34.8046,2.053129,f,OWNER,1/6/2012 3:36,Ja
28,155190.2,95.83081,-3.566532,f,RENTAL,1/6/2012 15:51,Ja
29,88601.84,35.33357,0.7930726,m,OWNER,1/7/2012 0:13,Nee
30,96442.99,35.76432,0.7386944,m,OWNER,1/7/2012 0:49,Nee
31,266783,52.81979,0.6935514,f,OWNER,1/7/2012 14:48,Ja
32,283012.9,49.13685,1.113447,f,OWNER,1/7/2012 19:15,Nee
33,191866,40.23537,0.9482053,f,OWNER,1/7/2012 20:35,Nee
34,101794.9,NA,-0.1279392,NA,RENTAL,1/7/2012 20:38,Nee
35,101794.9,47.18605,-0.1279392,m,RENTAL,1/7/2012 20:38,Nee
36,12320,23.41366,1.023661,m,OWNER,1/8/2012 0:11,Nee
37,202445.5,70.40515,-4.620875,f,RENTAL,1/8/2012 8:51,Nee
38,332817.3,56.26528,2.288875,f,OWNER,1/9/2012 6:38,Nee
39,NA,52.32822,-0.3427201,m,NA,1/9/2012 10:25,Nee
40,96549.71,52.32822,-0.3427201,m,RENTAL,1/9/2012 10:25,Nee
41,21552.60679,19.83685961,2.122449848,m,OWNER,1/9/2012 11:55,Nee
42,261310,78.87875,1.310312,f,OWNER,1/9/2012 19:08,Ja
43,39012.47,38.38271,-0.5178372,m,RENTAL,1/9/2012 22:36,Ja
44,132165.5,37.55838,0.1565212,f,OWNER,1/10/2012 0:39,Nee
45,236092.6,69.86593,0.8598785,f,OWNER,1/10/2012 11:00,Ja
46,49327.78,32.30695,0.6829751,m,OWNER,1/10/2012 12:14,Nee
47,104363.2,26.05571,2.701991,m,OWNER,1/10/2012 13:41,Nee
48,111442.5,28.63472,-0.5934343,f,RENTAL,1/10/2012 14:45,Nee
49,143124.9,79.9467,-0.4232357,f,RENTAL,1/11/2012 3:08,Nee
50,98030.49,41.96226,0.7388482,f,OWNER,1/11/2012 9:57,Ja
51,171801,46.82192,-0.3384328,f,RENTAL,1/11/2012 18:01,Ja
52,236647.8,54.18948,0.5630577,f,OWNER,1/11/2012 21:16,Nee
53,267250.1,45.93898,1.071851,f,OWNER,1/12/2012 8:24,Nee
54,29676.3,19.88779,3.736937,m,OWNER,1/12/2012 9:26,Ja
55,67336.34,38.46929,0.4248672,m,OWNER,1/12/2012 15:46,Nee
56,56020.91,35.71556,0.2458079,m,OWNER,1/12/2012 21:04,Nee
57,14442.1,27.77455,0.05370855,m,OWNER,1/12/2012 21:25,Nee
58,33143.27,32.84658,-0.09210359,m,RENTAL,1/13/2012 12:34,Nee
59,28435.57,20.20303,3.247552,m,OWNER,1/13/2012 20:46,Nee
60,168660.7,79.82956,-1.172021,f,RENTAL,1/14/2012 3:03,Nee
61,132322.5,NA,-0.7387351,m,RENTAL,1/14/2012 5:07,Nee
